A,B,O,bond_angle_a,bond_angle_c,cbm_diff,cbm_hse,cbm_k_pbe,cbm_pbe,gap_diff,gap_hse,gap_pbe,material,vbm_diff,vbm_hse,vbm_k_pbe,vbm_pbe
Be,Hf,O,137.2736124136089,,0.4057,3.6928,1.0,3.2871,1.3462,2.1821,0.8359000000000001,BeHfO,-0.9405,1.5107,4.0,2.4512
Be,Sn,O,136.83786818550544,,0.4302999999999999,6.0291,1.0,5.5988,1.461,2.2545999999999995,0.7935999999999996,BeSnO,-1.0307,3.7745,36.0,4.8052
Be,Ti,O,138.008358011024,,0.5697999999999999,5.9367,1.0,5.3669,1.3958,3.1762,1.7804000000000002,BeTiO,-0.8260000000000001,2.7605,3.0,3.5865
Be,Zr,O,136.56986375444114,,0.4142000000000001,5.2358,1.0,4.8216,1.3194999999999997,2.1009,0.7814000000000005,BeZrO,-0.9052999999999995,3.1349,4.0,4.0402
Bi,Al,O,160.60520344993515,,0.3507000000000016,9.0698,33.0,8.7191,1.1540000000000017,2.584600000000001,1.4305999999999992,BiAlO,-0.8033000000000001,6.4852,3.0,7.2885
Bi,Ga,O,152.94970212410132,,0.34860000000000024,7.7062,33.0,7.3576,1.0851000000000006,2.2564,1.1712999999999996,BiGaO,-0.7365000000000004,5.4498,36.0,6.1863
Bi,In,O,142.40894210378906,,0.2748999999999997,7.049,33.0,6.7741,0.9663999999999991,1.700099999999999,0.7336999999999998,BiInO,-0.6914999999999996,5.3489,36.0,6.0404
Bi,Tl,O,135.8270730989985,,0.20720000000000027,6.3677,33.0,6.1605,0.9047000000000011,1.2170000000000003,0.3122999999999996,BiTlO,-0.6975000000000007,5.1507,8.0,5.8482
Ca,Ge,O,156.12895189378514,,0.5975999999999999,7.0645,1.0,6.4669,1.6969,3.3422,1.6452999999999998,CaGeO,-1.0993,3.7223,4.0,4.8216
Ca,Hf,O,147.13429610985563,,0.7603,6.9239,1.0,6.1636,1.7167000000000003,5.2926,3.5759,CaHfO,-0.9564,1.6313,1.0,2.5877
Ca,Si,O,172.33205995723992,,0.7862000000000009,11.2064,1.0,10.4202,1.8940000000000008,5.843800000000001,3.9498,CaSiO,-1.1078,5.3626,4.0,6.4704
Ca,Sn,O,146.74369278706092,,0.6356000000000002,7.3784,1.0,6.7428,1.6917000000000004,3.7699,2.0782,CaSnO,-1.0561000000000005,3.6085,4.0,4.6646
Ca,Ti,O,153.31092629007128,,0.6436999999999999,6.0915,1.0,5.4478,1.5244,3.3948,1.8704,CaTiO,-0.8807,2.6967,4.0,3.5774
Ca,Zr,O,145.7672587836345,,0.7615999999999996,7.9917,1.0,7.2301,1.6918999999999995,4.8803,3.188400000000001,CaZrO,-0.9302999999999996,3.1114,1.0,4.0417
Cd,Ge,O,150.1943066628809,,0.6543999999999999,5.9439,1.0,5.2895,1.7254999999999998,2.7803,1.0548000000000002,CdGeO,-1.0711,3.1636,36.0,4.2347
Cd,Hf,O,144.14141401190545,,0.5774999999999997,3.7635,1.0,3.1860000000000004,1.467899999999999,2.5816,1.1137000000000006,CdHfO,-0.8903999999999999,1.1819,3.0,2.0723
Cd,Si,O,157.0845025303731,,0.690999999999999,8.5399,1.0,7.8489,1.802599999999999,3.9682,2.1656000000000004,CdSiO,-1.1116,4.5717,36.0,5.6833
